skill_match_score,avg_rating,recommendation_rate,completion_rate,bid_success_rate,category_experience,response_time_hours,portfolio_quality,budget_match_score,delivery_time_days,freelancer_tenure_days,project_complexity,client_history_score,past_collaboration,skills_count_match,workload_factor,mentorship_program_completed,is_successful_match
0.6681,3.2818,0.1179,0.7050,0.3898,1,10.34,7.6125,0.7704,9.4,520.0,3.2023,0.5000,0,3,0.5175,0,1
0.8141,4.1544,0.7270,0.9410,0.4265,8,4.12,7.1115,0.7443,25.7,701.0,5.1641,0.5000,0,4,0.3082,0,1
0.8211,3.0079,0.9245,0.8769,0.1596,1,4.45,7.8164,0.8879,5.9,272.0,7.7243,0.5000,0,4,0.1436,1,1
0.6046,4.0318,0.4946,0.8514,0.1874,0,19.53,2.6744,0.7206,21.0,98.0,4.6409,0.5000,0,3,0.4392,0,1
0.4996,3.0179,0.7009,0.8128,0.3617,1,45.85,9.2897,0.8384,12.4,628.0,0.4444,0.5000,0,2,0.4370,0,0
0.5324,3.8014,0.4107,0.8940,0.1078,2,47.97,3.3283,0.9132,7.1,130.0,4.5215,0.5000,0,2,0.1485,1,1
0.2157,4.1833,0.9299,0.9344,0.3860,5,28.50,9.8983,0.8952,3.6,365.0,9.2906,0.5000,0,1,0.2654,1,1
0.2161,4.1847,0.9980,0.8243,0.1424,5,17.54,7.5115,0.9477,3.2,70.0,8.4050,0.2381,1,1,0.8453,0,1
0.5453,4.2690,0.7892,0.8366,0.1118,4,46.81,9.8743,0.9345,6.4,886.0,1.8671,0.5000,0,2,0.5562,0,0
0.1219,4.1964,0.8335,0.8696,0.4855,7,28.06,9.4774,0.9431,6.2,134.0,0.0284,0.5000,1,0,0.7201,1,1
0.5908,3.8001,0.6747,0.9562,0.1691,1,28.03,6.1593,0.9827,23.6,754.0,2.8051,0.5000,0,2,0.8043,1,1
0.8880,4.3288,0.1600,0.9334,0.3560,0,22.18,8.0514,0.9640,22.5,954.0,9.4310,0.5000,1,4,0.9692,0,1
0.5875,3.4225,0.9125,0.8222,0.4224,5,27.02,7.2068,0.7601,16.2,794.0,5.8174,0.5000,1,2,0.0523,0,1
0.2144,3.6273,0.1895,0.9528,0.2880,1,23.78,7.6341,0.8988,28.0,375.0,8.5655,0.5000,0,1,0.9381,0,0
0.6128,3.7742,0.8413,0.9761,0.2250,13,44.31,8.9068,0.7050,10.5,592.0,0.1862,0.4109,0,3,0.6555,0,0
0.2962,4.8812,0.8022,0.9314,0.1170,10,27.05,3.6496,0.8032,8.5,616.0,6.4368,0.5000,0,1,0.6652,0,1
0.1359,4.6851,0.2459,0.6003,0.3317,1,9.46,1.8317,0.8932,5.7,946.0,1.8023,0.5000,0,0,0.6419,1,0
0.8606,3.7125,0.8286,0.8391,0.4162,8,27.80,6.7217,0.8234,19.4,975.0,6.9671,0.5000,0,4,0.5404,0,0
0.6938,3.6345,0.8355,0.9980,0.3007,13,3.99,4.1334,0.8260,7.1,575.0,4.0630,0.5000,1,3,0.4613,1,1
0.4842,4.4293,0.7565,0.9594,0.2852,13,47.10,5.0076,0.7625,26.7,886.0,6.3344,0.5000,0,2,0.5051,0,1
0.0632,3.2181,0.9758,0.9138,0.1616,6,8.44,3.7389,0.7328,3.1,663.0,0.2172,0.5000,1,0,0.8271,0,0
0.3990,4.1965,0.2019,0.8177,0.1201,0,33.25,0.9412,0.8591,22.7,538.0,7.1990,0.6772,1,1,0.3522,1,1
0.8587,4.5903,0.9434,0.9325,0.1357,12,46.86,8.4789,0.7560,20.8,967.0,8.0631,0.4439,1,4,0.1957,1,1
0.8206,3.7207,0.9754,0.8120,0.4387,5,42.80,3.8956,0.7311,27.4,157.0,8.8318,0.5000,1,4,0.0306,1,1
0.6567,3.6353,0.5226,0.6463,0.1613,1,20.35,5.6407,0.9941,20.7,297.0,9.9445,0.5000,0,3,0.5316,0,1
0.2834,4.7534,0.9893,0.8630,0.1957,6,41.88,8.7223,0.7164,23.7,470.0,8.3791,0.5000,1,1,0.2501,1,0
0.1412,4.2428,0.9296,0.8908,0.3710,4,19.62,1.4028,0.7341,5.7,509.0,5.1295,0.5000,0,0,0.6850,0,1
0.6272,4.5501,0.9880,0.8677,0.2140,4,21.66,5.5367,0.7330,6.6,928.0,3.8622,0.5000,0,3,0.4777,1,0
0.4301,4.6474,0.1429,0.8727,0.4792,0,16.14,7.2135,0.8134,16.5,492.0,9.8545,0.5000,0,2,0.2626,0,1
0.5249,3.6536,0.7524,0.8969,0.1177,2,10.28,2.2461,0.7642,21.2,384.0,8.9080,0.5000,0,2,0.0384,0,0
0.0425,3.3083,0.9599,0.9722,0.1175,8,45.34,8.6764,0.7230,6.1,989.0,2.9689,0.5000,0,0,0.0785,0,1
0.2489,3.3097,0.8286,0.8160,0.3036,11,44.48,5.6735,0.8069,15.2,521.0,0.3575,0.2916,0,1,0.1084,0,0
0.8533,3.9208,0.8834,0.9163,0.1707,1,4.30,2.3502,0.9751,18.1,122.0,8.1228,0.1924,1,4,0.2124,0,1
0.7254,3.9814,0.6833,0.7906,0.1829,1,19.33,0.4085,0.7533,20.4,718.0,0.1517,0.5000,0,3,0.6905,0,1
0.9233,3.0752,0.0230,0.7845,0.2954,2,48.26,2.6068,0.9025,18.6,848.0,0.6354,0.5000,0,4,0.3830,0,1
0.6909,3.6350,0.8212,0.8332,0.4262,1,43.77,5.3702,0.7621,17.7,738.0,5.8707,0.5000,0,3,0.9602,1,1
0.3697,3.9467,0.8963,0.8016,0.3051,14,37.55,7.3875,0.7593,5.9,630.0,5.3827,0.5000,1,1,0.5343,1,1
0.6247,3.3366,0.8309,0.8053,0.3364,14,38.52,3.7514,0.8591,5.2,445.0,0.9956,0.5000,1,3,0.8019,1,0
0.9556,4.9793,0.7727,0.8915,0.2700,2,40.83,7.5622,0.9755,19.7,957.0,7.7856,0.5000,0,4,0.1190,1,1
0.5413,3.9798,0.0772,0.8812,0.1990,0,21.98,6.5280,0.7931,5.4,40.0,7.1451,0.5000,0,2,0.9963,0,1
0.7100,4.6179,0.8364,0.8719,0.1870,12,3.60,0.9198,0.8256,21.8,64.0,6.0769,0.3114,0,3,0.3120,0,0
0.5242,4.7587,0.7314,0.8083,0.4089,11,36.12,7.4549,0.7611,26.3,256.0,7.8226,0.5000,0,2,0.3101,0,0
0.3653,3.0704,0.7827,0.9340,0.1622,11,33.90,6.1766,0.9108,5.9,708.0,3.5146,0.5000,0,1,0.4721,0,0
0.7499,3.4811,0.9047,0.9186,0.3027,2,41.82,1.5952,0.7555,27.2,541.0,4.9685,0.5000,0,3,0.9977,0,1
0.1956,3.6209,0.8239,0.8771,0.2507,3,5.07,5.9345,0.7139,24.3,522.0,3.8428,0.5000,0,0,0.3609,0,1
